#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=365 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:61 out:63 type:b dur:2 cpbdur:2 q:28.66 aq:20.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:29.81 aq:21.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:32.00 aq:14.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:31.20 aq:20.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:30.79 aq:22.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:31.60 aq:22.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:32.68 aq:15.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:32.34 aq:21.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:32.17 aq:23.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:32.51 aq:23.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
